@Ids_Hmi,15:44 - 24 mars 2013,Nan !! il vont enlever les blagues des #Carambar  c'est des ouf faut pas laisser faire sa !!,
@Tot_13,06:51 - 22 mars 2013,Putain qu'est qu'ils ont y suppriment les blagues Carambar ! Non mais Allllllllô ! #carambar #wtf,
@JLASMALA,06:50 - 22 mars 2013,Révélation: Et si la fin des blagues #Carambar était en réalité... une #blague ? http://www.jeanmarcmorandini.com/article-302086-revelation-et-si-la-fin-des-blagues-carambar-etait-en-realite-une-blague.html …,
@MargauxCqd,06:48 - 22 mars 2013,RT Allô quoi ! T'es un Carambar et t'as pas de blagues ? Non mais allô quoi !  Un poisson d'avril avec un peu d'avance !#carambar #com,
@Sivolc,06:47 - 22 mars 2013,C'est une blague l'arrêt des blagues #Carambar ? #CarembarGate,
@Roy_Rogers4,06:47 - 22 mars 2013,Bof c'est ptet pas plus mal que #Carambar arrête ses blagues de merde ! Ça instruira un peu les gosses quoi ,
@Stephanedelgado,06:46 - 22 mars 2013,et si la fin des blagues de #Carambar soit en réalité une blague ? Cela serait certainement la meilleure blague de leur histoire,
@loliveish,06:45 - 22 mars 2013,Les fans des blagues Carambar pleurent sur Twitter http://on-msn.com/Z6qNtH  via @MSNFrance #carambar,
@ChinyChoo,06:45 - 22 mars 2013,#Carambar : l'auteur était payé 70 euros la blague http://yhoo.it/10rVeMe  >> La blagueeee lol,
@Teeeo,06:45 - 22 mars 2013,Une grande époque s'achève...Carambar arrête ses blagues pour des Quizz éducatifs @BlaguesCarambar #carambar,
@lauwence_,06:43 - 22 mars 2013,RT “@morandiniblog: Révélation: Et si la fin des blagues Carambar était en réalité... une blague ? #carambar,
@morandiniblog,06:40 - 22 mars 2013,Révélation: Et si la fin des blagues Carambar était en réalité... une blague ? #carambar http://www.jeanmarcmorandini.com/article-302086-revelation-et-si-la-fin-des-blagues-carambar-etaient-en-realite-une-blague.html …,
@tomadelest,06:38 - 22 mars 2013,Finies les blagounettes #Carambar du père François !!!#Hollande #pépère #FH @LaGaucheMaTuerpic.twitter.com/TFfTf1aCpu,
@mandinnette,06:36 - 22 mars 2013,#Carambar se prend au sérieux ? Sans #blague ? http://fr.locita.com/societe/carambar-se-prend-au-serieux-sans-blague-110382/ …,
@famili_fr,06:35 - 22 mars 2013,Les blagues #Carambar c'est fini ! La marque a décidé de les remplacer par des quiz sur l'orthographe et des problèmes ludo-éducatifs...,
@oliviertripet,06:35 - 22 mars 2013,@EdithPage RT @DariusRochebin @cframmery: La mâchoire qui colle avec une blague à deux balles: c'était #Carambar!  htt ...,
@raph_kidd,06:33 - 22 mars 2013,les blagues #carambar n'ont jamais rendu les gens droles les remplacer par des exercices ludo-éducatifs ne les rendront pas intelligents ;D,
@Esod,06:31 - 22 mars 2013,Et demain on nous annoncera que Apéricube va faire dans les blagues ! #Carambar #CarambarGate #Onarretederire,
@millemiaou,06:30 - 22 mars 2013,Fini les blagues carambar ! en deuil. Remplacer par de la culture G les enfants mangent des bonbons pour devenir gros et intello #Carambar,
@LoyaL_Tweet_B,06:30 - 22 mars 2013,La fin des blagues #carambar ça sent la grosse opé de com pour générer du bruit et des retombées média. P-e bien leur meilleure blague.,
@doctorjihem,06:30 - 22 mars 2013,@ThierryMoreauT7 va se retrouver au chômage vu que #carambar arrête les blagues,
@marine_girard,06:29 - 22 mars 2013,#Carambar : l'auteur était payé 70 euros la blague http://tempsreel.nouvelobs.com/societe/20130322.OBS2709/carambar-l-auteur-etait-paye-70-euros-la-blague.html … via @LeNouvelObs,
@AnnesoAbordo,06:28 - 22 mars 2013,Fin des #blagues #Carambar : Nnnnnnnooooooooooooonnnnnnnnnnnnn!!! http://www.liberation.fr/vous/2013/03/21/blagues-carambar-plus-dure-sera-la-chute_890305 …,
@copainsdavant,06:26 - 22 mars 2013,fini les #Blagues #Carambar ! http://ow.ly/jjKaf  Une dernière pour la route !,
@arianedepapeary,06:26 - 22 mars 2013,Ça va nous manqueeer !! #carambar #enfancepic.twitter.com/XBkvVsJbNA,
@DoulsMadness,06:25 - 22 mars 2013,RT @LeNouvelObs: Le revenu de l'auteur des blagues #Carambar dévoilé >> http://bit.ly/YJPIzV ,
@NARDEAU,06:25 - 22 mars 2013,70 € pour recopier des tweets ! RT @LeNouvelObs: Le revenu de l'auteur des blagues #Carambar dévoilé >> http://bit.ly/YJPIzV ,
@MiParisienne,06:22 - 22 mars 2013,PAS DRÔLE – #Carambar arrête ses blagues cc @BlaguesCarambar http://ow.ly/jjMbH ,
@MaximeCarboni,06:21 - 22 mars 2013,non mais #alloquoi t'es un #Carambar t'as plus de blagues !? #scandale #lachutedunmythe http://www.europe1.fr/Faits-divers/Bientot-la-fin-des-blagues-Carambar-1456215/ …,
@ToineSayan,06:20 - 22 mars 2013,C'est très con niveau blagues #carambar mais j'ai ri.  http://twitpic.com/cdf3qg ,
@ClemVanHille,06:19 - 22 mars 2013,On a ts un jour voulu savoir qui c'était ! Le revenu de l'auteur des blagues #Carambar dévoilé >> http://bit.ly/YJPIzV  cc @LeNouvelObs,
@LNicollet,06:18 - 22 mars 2013,Le scandale de ceux qui tuent la France RT @LeNouvelObs: Le revenu de l'auteur des blagues #Carambar dévoilé >> http://bit.ly/YJPIzV ,
@conte_mick,06:17 - 22 mars 2013,parcequ'en plus il était payé pour fairedes blagues aussi pourries revenu de l'auteur des blagues #Carambar dévoilé http://bit.ly/YJPIzV ,
@MoniezC,06:17 - 22 mars 2013,CARAMBAR : Le revenu de l'auteur des blagues #Carambar dévoilé >> http://bit.ly/YJPIzV ,
@Powerful_Panda,06:15 - 22 mars 2013,Blagues #Carambar : chronique d'une mort annoncée ?http://tempsreel.nouvelobs.com/vu-sur-le-web/20130321.OBS2653/blagues-carambar-chronique-d-une-mort-annoncee.html … via @LeNouvelObs,
@lobs,06:15 - 22 mars 2013,Le revenu de l'auteur des blagues #Carambar dévoilé >> http://bit.ly/YJPIzV ,
@laprovence,06:15 - 22 mars 2013,RT @philippelazare: #Carambar #humour Les blagues Carambar bientôt supprimées ! http://www.laprovence.com/article/web/2274345/les-blagues-carambar-bientot-supprimees.html …,
@philippelazare,06:14 - 22 mars 2013,#Carambar #humour Les blagues Carambar bientôt supprimées | La Provence http://www.laprovence.com/article/web/2274345/les-blagues-carambar-bientot-supprimees.html … via @laprovence,
@Zushix,06:11 - 22 mars 2013,Mon collègue à arrêté la clope et compense avec les carambars...Il me raconte toutes les blagues mais je suis heureux maintenant #carambar,
@cframmery,06:11 - 22 mars 2013,La mâchoire qui colle avec une blague à deux balles: c'était #Carambar! Jolie chronique in #LeTemps de Carole Riegel  http://www.letemps.ch/Page/Uuid/2c68f394-92ee-11e2-a4ba-4ec24fb4b947/Ay_Carambar#.UUxX7zVh6cw.twitter …,
@miraelmartins,06:10 - 22 mars 2013,#Carambar Les mecs touchaient 70€ par blague (pourrie) !! Ah ouais quand même !!,
@forgetpaul,06:08 - 22 mars 2013,Une partie de nous-même qui s'en va... #Carambar http://www.pcinpact.com/news/78481-la-fin-blagues-carambar-sorchestre-en-ligne.htm …,
@BettyParCiParLa,06:07 - 22 mars 2013,Ce n'est pas une blague! ;) #Carambar perd le sens de l'humour http://www.lefigaro.fr/culture/2013/03/21/03004-20130321ARTFIG00607-carambar-perd-le-sens-de-l-humour.php … via @le_figaro,
@Giba,06:07 - 22 mars 2013,@Bouletcorp ça m'angoisse terriblement cette histoire de #Carambar . Heureusement qu'il reste les #TrivialPursuit dans les #Apericubes !,
@DamienDiniz,06:07 - 22 mars 2013,Ah l'époque où on utilisait les bâtons de colle #UHU il y avait encore des blagues #carambar,
@JeremyMerlet,06:07 - 22 mars 2013,#Carambar : l'auteur était payé 70 euros la blague http://tempsreel.nouvelobs.com/societe/20130322.OBS2709/carambar-l-auteur-etait-paye-70-euros-la-blague.html … #questcequiestjaunequimonteetquidescend,
@MrLoouky,06:06 - 22 mars 2013,Les blagues carambar bientôt fini ?? #Carambar #Blague,
@MarionSoulier,06:06 - 22 mars 2013,Non c'est pas drôle ça ! La fin des blagues #Carambar annoncée pour le 15 avril 2013 http://huff.to/14a6FLy  via @LeHuffPost,
@Gilles_deKerf,06:05 - 22 mars 2013,@SimeonYves superbe campagne de com surtout #Carambar,
@lionelzeba,06:03 - 22 mars 2013,@BastienColletteT es un #Carambar et t as pas de blagues? Non mais #AlloQuoi #Allo! #FinDesBlaguesDansLesCarambars,
@StephanKiki,06:03 - 22 mars 2013,je suis sûr que la mise en examen de #Sarkozy est là pour dissimuler la dispartition des blagues #carambar!,
@DIFADOM,06:02 - 22 mars 2013,Triste nouvelle : Carambar a annoncé l'arrêt des blagues; Désormais nous retrouverons des jeux ludo-éducatifs #triste #carambar,
@girardjp,05:59 - 22 mars 2013,Plus de #blagues dans les carambars on va avoir des #serious #carambar maintenant ! Un serious game est-il à l'origine de cette décision ?,
@HamouBOUAKKAZ,05:59 - 22 mars 2013,Attristé par l'annonce de #Carambar  de retirer ses blagues de l'emballage. Comment vais-je faire maintenant pour être drôle ?,
@BKN_News,05:58 - 22 mars 2013,#Carambar et les #blagues c'est #fini http://wp.me/p2IhNM-10p  via @BKN_News,
@HouriaBouchama,05:57 - 22 mars 2013,#NonMaisAlloQuoi ! T'es un #Carambar et t'as pas de blagues ? http://www.latribune.fr/entreprises-finance/industrie/agroalimentaire-biens-de-consommation-luxe/20130322trib000755497/carambar-veut-arreter-ses-blagues-les-consommateurs-se-mobilisent.html … via @LaTribune,
@D_MailletPraud,05:55 - 22 mars 2013,Tout le monde se préoccupe de #Sarkozy  mais on a plus urgent : empêcher la fin des blagues #Carambar ! Sauvons nos blagues !,
@lafonte08,05:54 - 22 mars 2013,Dommage je ne pourrai plus faire des #blagues de ... #carambar !,
@Kharec,05:53 - 22 mars 2013,La fin des blagues #carambar : le décompte. http://www.carambar.fr/ ,
@anassaadallah,05:52 - 22 mars 2013,@mathieusicard: #Carambar arrête les blagues : encore un coup des socialistes ? http://leplus.nouvelobs.com/contribution/804074-carambar-arrete-les-blagues-pour-la-culture-generale-bonne-nouvelle-ou-scandale.html …,
@jc_roux,05:51 - 22 mars 2013,Allô? Nan mais allo quoi vous m’recevez ? Chepa mais t'es un #Carambar et tu fais plus de blague ! Nan mais allo !,
@plCurtet,05:51 - 22 mars 2013,@RenaudBongiov Hum... affaire à suivre. Nous serons les premiers à y avoir pensé! #pionniers #Carambar,
@Vent_D_Ange,05:51 - 22 mars 2013,#FF @bb_ryoliu pour sa tristesse de la fin de son inspiration #carambar,
@Frederic_Bois,05:49 - 22 mars 2013,#Carambar arrete les #blagues et c'est bien dommage http://www.docnews.fr/actualites/marquecarambar-arrete-blagues-est-bien-dommage3016504.html … via @doc_news,
@jrm_grondin,05:49 - 22 mars 2013,Les vrais problèmes des français: #Carambar arrête les blagues pour la culture générale: bonne nouvelle ou scandale ? http://twitts.fr/u/cio ,
@E5tellle,05:47 - 22 mars 2013,Les blague #carambar sont bof je suis d'accord mais un carambar sans blague c'est pas pareil.,
@m2jp3,05:44 - 22 mars 2013,La fin des blagues #Carambar s'orchestre en ligne http://bit.ly/ZEtUsR ,
@SheyaChan,05:41 - 22 mars 2013,Apparemment le fait que #carambar arrête les blagues en perturbe plus d'un.,
@ioster,05:40 - 22 mars 2013,Suite à la disparition des blagues #Carambar et la recrudescence des blagues Twitter nous vous déconseillons de manger votre portable,
@vinceakadiego,05:40 - 22 mars 2013,Marketing : #Carambar indique que les blagues seront remplacées par les réactions des membres de l'UMP à la mise en examen de #sarkozy,
@HuguesSultana1,05:40 - 22 mars 2013,Y’aura bientôt plus de blagues à l’intérieur des carambars…dommage elles étaient tellement drôle !!! #Carambar,
@sebbouey,05:39 - 22 mars 2013,En même temps #carambar ne pouvait plus lutter pour les blagues avec #Twitter,
@myBOXSONS,05:36 - 22 mars 2013,70€ par #blague #carambar ... http://goo.gl/qHy12 ,
@herstalle,05:35 - 22 mars 2013,Allo? Non mais allo quoi? T'es un #carambar et t'as pas de blagues? C'est comme si je te dit t'es un biscuit chinois et t'as pas message!,
@seantoine,05:34 - 22 mars 2013,Journée catastrophe pour l'#ump : on apprend la disparition des blagues #carambar,
@ZorroEstArriver,05:32 - 22 mars 2013,Mr & Mme VD ont un fils comment s'appelle-t-il ?                                       Dédé ! Dédé VD #Carambar ..,
@Marin_Mariniere,05:32 - 22 mars 2013,Nostalgie des grands moments de la lecture de la blague... #Carambar,
@myselfhimself,05:32 - 22 mars 2013,#LesPhrasesQuiFontPeur : Fin aux blagues #carambar !. Tout ça pousse à faire des #ManifPourTous comme le #24Mars par exemple ! #SansBlague,
@lUMPmatuer,05:31 - 22 mars 2013,RT @SophiaModa: Je suis pour le remplacement des blagues Carambar par des tweets de Nadine Morano! #UMP #CARAMBAR,
@ZorroEstArriver,05:31 - 22 mars 2013,Quel est le nom de la chatte de la Schtroumpfette ?                                         - Blue Touffe .. #Carambar,
@AurelienRomano,05:30 - 22 mars 2013,@salam93 le printemps! Fallait choisir entre #carambar ou #sarkozy donc ... #spring is there!,
@DarkVador_Off,05:30 - 22 mars 2013,J'ai sous les yeux 1 blague #Carambar  : Mr & Mme Casserole ont une fille comment s'appelle t elle? Jessie#VoilàVoilà#CaNousManqueDéjà,
@VPreseau,05:30 - 22 mars 2013,Fini les blagues #carambar !!! :O  #WTF?,
@noturiuspatchek,05:29 - 22 mars 2013,@crazyaboutlolit: Plus de blagues sur les #carambar  c'est con mais on les lisaient tous.... sauf ceux ki nen mangeait pas ;),
@bikini_circus,05:29 - 22 mars 2013,J'adooooooore mon job :-D #bonbons #vente #école #chine #dragibus #carambar #colors http://instagram.com/p/XKN-VKq4j5/ ,
@ericvob,05:29 - 22 mars 2013,c'est pas la blague qui compte mais comment tu la racontes http://bit.ly/Y2gIip  #carambar #blague,
@Celinem1982,05:29 - 22 mars 2013,Noooooooooooooooon pas les blagues #carambar :'(,
@marie33_d,05:29 - 22 mars 2013,@KevinRazy Tu es un excéllent humoriste tu n'as pas besoin des vannes du #carambar pour nous faire rire !,
@Francois_ler,05:29 - 22 mars 2013,La bonne blague ! Vendredi au menu : poisson en Pape-illote. Le cuisiner s'amuse. Il a déjà été débauché chez #Carambar ?,
@RousseletBlanc,05:28 - 22 mars 2013,Supprimer blague #carambar ? Pas grave mieux dans @Almanach_Vermot  des nouvelle formule septembre,
@Melissabena,05:27 - 22 mars 2013,Les blagues #carambar vont disparaitre! Où est ce que je vais trouver mon inspiration moi maintenant????,
@AmandineBardet1,05:27 - 22 mars 2013,Triste nouvelle en ce vendredi 22 mars #Carambar change de marketing de séduction et retire les blagues de ses bonbons. #mortdemonhumour,
@Jasssboo,05:26 - 22 mars 2013,Ils veulent enlever les blagues dans les #Carambar !! #Non  #JeNeVeuxPas J'adore les blagues nulles !! ,
@guunter35,05:26 - 22 mars 2013,#carambar Sniff vais boycotter le carambar ! Unissons nous pour un retour de la blague a 2 balles ! oups a 0.30€,
@DavidBAZIERE,05:26 - 22 mars 2013,Les blagues françaises étant devenu trop chères #Carambar les remplace par des jeux fabriqués en Chine !,
@marcbabu,05:25 - 22 mars 2013,Plus de blague dans les #carambar non mais c'est une blague :(,
@HBC_Manon,05:24 - 22 mars 2013,Nooooooon Carambar n'arrête pas les blagues ! :'(  #Carambar,
@Lnarose,05:23 - 22 mars 2013,#carambar voudrait enlever ses ptites blagounettes!! Bon c etait peut etre pas tres drole mais c est tout ce qui faisait son charme!!! :-),
@MeilhacRF,05:23 - 22 mars 2013,@Titmilou38 là d'accord ! très bon ça ! Conservons les blagues #carambar please...,
@JeremyVedra,05:22 - 22 mars 2013,Il n'y aura plus de blagues dans les #carambar où vais-je maintenant trouver mes sources d'inspirations?! Lol,
@KrnCons,05:22 - 22 mars 2013,Fini les blagues sur les #Carambar . C'est la fin du monde.,
@Tikoooqk974,05:22 - 22 mars 2013,Plus de blague dans les carambar ! Un carambar sans sa blague n'est pas un carambar ! #Carambar,
@MartaMorence,05:22 - 22 mars 2013,#carambar arrête ses blagues et les remplacerais par des questions éducative !! :/ est ce une blague ?!,
@CharleneB_13,05:22 - 22 mars 2013,Veut pas qu'ils enlevent les blagues des #carambar !,
@raissanne_,05:22 - 22 mars 2013,Haha j'ai bien aime le reportage. #tf1 #Carambar,
@DjFlorum,05:22 - 22 mars 2013,Nooon mais allooooo quoi !T'es un Carambar et t'as plus de blague !Mais alllllloooo !#Carambar #JT #tf1,
@BemAlraya,05:22 - 22 mars 2013,Comment s'appelle un bonbon avec une béquille ? #tf1 #carambar,
@Maina_226,05:21 - 22 mars 2013,Y'aura plus de blague sur les Carambar sa seraa des questions !  #CARAMBAR,
@CraZil_,05:21 - 22 mars 2013,Stop blague #carambar nan mais sérieux où on va là!,
@crazyaboutlolit,05:21 - 22 mars 2013,Plus de blagues sur les #carambar  c'est con mais on les lisaient tous....,
@AlexVsKrusty,05:20 - 22 mars 2013,Les blagues #Carambar vont s'arreter ! Hé bein nan ! C'est un coup marketing !,
@Garn_Desanea,05:20 - 22 mars 2013,Enfin ! Au moins mes joueurs m'emmerderont plus a lire les blagues #carambar pendant que je masterise #JDR,
@MariamNdour,05:18 - 22 mars 2013,Les blagues #carambar remplacées dès le 15 avril par des jeux ludiques. La fin d'une époque...,
@princesleiah,05:18 - 22 mars 2013,Bon. Les amis. Je pense qu'on ne s'est pas assez mobilisé sur le coup des blagues #carambar  Merde! Ça c'est un vrai combat quoi.,
@Rico_Mathias,05:15 - 22 mars 2013,Blague ou pas blague ??? #Carambar arrête ses #blagues http://bit.ly/164RmCs ,
@Ioussaille,05:15 - 22 mars 2013,LA LUTTE CONTINUE RT @PierreCourade: Pourquoi le foot c'est rigolo ? - Parce que Thierry en rit ! #Carambar (via @Julien2433 ),
@gsempe,05:15 - 22 mars 2013,“Quel est le super héros des plombiers ? C’est Robinet Batman” #carambar #blague #hommage,
@charlotteassier,05:14 - 22 mars 2013,#Carambar remplace ses #blagues par des #exercices ludo-éducatifs http://buff.ly/Y1xAGf ,
@Ptitewam,05:13 - 22 mars 2013,La fin d une époque ?! #carambar #blague #sniiiif http://instagram.com/p/XKMx9NRk_H/ ,
@FonquernieTh,05:13 - 22 mars 2013,Triste nouvelle fin des blagues #Carambar le 15 avril....Où vais-je trouver ma source d'inspiration maintenant ?,
@lionelzeba,05:13 - 22 mars 2013,T es un #Carambar et t as pas de blagues? Non mais #AlloQuoi #Allo @AmandineAN,
@BeLucie,05:13 - 22 mars 2013,Le saviez-vous les blagues #Carambar datent de 1969 et disparaîtront le 15 Avril prochain.,
